male_ID,time_factor,treatment_combination,sperm_motility
62,0,old sperm with old SF,8.627066667
62,2,old sperm with old SF,7.5813
62,4,old sperm with old SF,7.397766667
62,6,old sperm with old SF,7.0226
63,0,old sperm with young SF,10.6716
63,2,old sperm with young SF,7.130433333
63,4,old sperm with young SF,5.1165
63,6,old sperm with young SF,3.9552
64,0,old sperm with young SF,1.827133333
64,2,old sperm with young SF,1.557933333
64,4,old sperm with young SF,1.424166667
64,6,old sperm with young SF,1.357066667
65,0,young sperm with young SF,8.740666667
65,2,young sperm with young SF,8.4275
65,4,young sperm with young SF,8.019766667
65,6,young sperm with young SF,7.832866667
66,0,young sperm with young SF,4.4485
66,2,young sperm with young SF,2.777133333
66,4,young sperm with young SF,1.7252
66,6,young sperm with young SF,1.482066667
67,0,young sperm with old SF,8.421333333
67,2,young sperm with old SF,8.1557
67,4,young sperm with old SF,7.110966667
67,6,young sperm with old SF,6.670333333
68,0,young sperm with old SF,8.942566667
68,2,young sperm with old SF,7.845266667
68,4,young sperm with old SF,7.322866667
68,6,young sperm with old SF,6.934933333
