flyID,batch_combination,sperm_donor_hatch,SF_donor_hatch,dissection_date,time_recording,sperm_age,seminal_fluid_age,treatment_combination,mean_motility_3frames,sperm_motility_frame1,sperm_motility_frame2,sperm_motility_frame3,sperm_motility_field_of_view,video_filename_old,video_recoded
15,"B,B",30.12.22,30.12.22,31.01.23,4,old sperm,old SF,old sperm with old SF,3.079866667,3.8269,2.4531,2.9596,2.4444,Fly15_4min,59
15,"B,B",30.12.22,30.12.22,31.01.23,6,old sperm,old SF,old sperm with old SF,1.969833333,2.7851,1.5191,1.6053,1.9408,Fly15_6min,60
16,"B,B",30.12.22,30.12.22,31.01.23,0,old sperm,old SF,old sperm with old SF,6.163966667,5.9557,5.5542,6.982,4.5102,Fly16_0min,61
16,"B,B",30.12.22,30.12.22,31.01.23,2,old sperm,old SF,old sperm with old SF,4.8574,5.017,3.7284,5.8268,3.5167,Fly16_2min,62
16,"B,B",30.12.22,30.12.22,31.01.23,4,old sperm,old SF,old sperm with old SF,3.165,3.1239,2.2433,4.1278,2.5263,Fly16_4min,63
16,"B,B",30.12.22,30.12.22,31.01.23,6,old sperm,old SF,old sperm with old SF,2.455933333,2.0528,1.7242,3.5908,2.0034,Fly16_6min,64
17,"B,H",30.12.22,14.01.23,31.01.23,0,old sperm,young SF,old sperm with young SF,9.948433333,10.0608,9.1515,10.633,5.2697,Fly17_0min,65
17,"B,H",30.12.22,14.01.23,31.01.23,2,old sperm,young SF,old sperm with young SF,9.048433333,8.7035,8.4091,10.0327,4.7951,Fly17_2min,66
17,"B,H",30.12.22,14.01.23,31.01.23,4,old sperm,young SF,old sperm with young SF,9.1102,8.849,8.8917,9.5899,4.7704,Fly17_4min,67
17,"B,H",30.12.22,14.01.23,31.01.23,6,old sperm,young SF,old sperm with young SF,8.7507,8.7586,7.915,9.5785,4.6513,Fly17_6min,68
18,"H,H",14.01.23,14.01.23,31.01.23,0,young sperm,young SF,young sperm with young SF,6.956433333,6.5312,6.5596,7.7785,4.2383,Fly18_0min,69
18,"H,H",14.01.23,14.01.23,31.01.23,2,young sperm,young SF,young sperm with young SF,5.0745,4.5594,4.3418,6.3223,3.155,Fly18_2min,70
18,"H,H",14.01.23,14.01.23,31.01.23,4,young sperm,young SF,young sperm with young SF,4.197133333,3.997,3.7108,4.8836,2.7275,Fly18_4min,71
18,"H,H",14.01.23,14.01.23,31.01.23,6,young sperm,young SF,young sperm with young SF,2.9832,3.5549,2.786,2.6087,2.2747,Fly18_6min,72
19,"H,B",14.01.23,30.12.22,31.01.23,0,young sperm,old SF,young sperm with old SF,8.3467,6.6405,9.16,9.2396,4.1761,Fly19_0min,73
19,"H,B",14.01.23,30.12.22,31.01.23,2,young sperm,old SF,young sperm with old SF,6.1467,5.343,6.2625,6.8346,3.425,Fly19_2min,74
19,"H,B",14.01.23,30.12.22,31.01.23,4,young sperm,old SF,young sperm with old SF,5.135733333,4.6686,5.0127,5.7259,3.0138,Fly19_4min,75
19,"H,B",14.01.23,30.12.22,31.01.23,6,young sperm,old SF,young sperm with old SF,4.689466667,4.4012,3.8885,5.7787,2.696,Fly19_6min,76
20,"H,B",14.01.23,30.12.22,31.01.23,0,young sperm,old SF,young sperm with old SF,8.5739,8.4325,7.9757,9.3135,4.6889,Fly20_0min,77
20,"H,B",14.01.23,30.12.22,31.01.23,2,young sperm,old SF,young sperm with old SF,7.4087,7.0746,6.722,8.4295,3.8761,Fly20_2min,78
20,"H,B",14.01.23,30.12.22,31.01.23,4,young sperm,old SF,young sperm with old SF,6.776266667,6.6717,6.0759,7.5812,3.5587,Fly20_4min,79
20,"H,B",14.01.23,30.12.22,31.01.23,6,young sperm,old SF,young sperm with old SF,6.397233333,5.9558,6.0514,7.1845,3.3894,Fly20_6min,80
21,"H,B",14.01.23,30.12.22,31.01.23,0,young sperm,old SF,young sperm with old SF,7.661866667,7.422,7.9458,7.6178,6.2787,Fly21_0min,81
21,"H,B",14.01.23,30.12.22,31.01.23,2,young sperm,old SF,young sperm with old SF,6.2494,5.6685,6.3732,6.7065,5.2752,Fly21_2min,82
21,"H,B",14.01.23,30.12.22,31.01.23,4,young sperm,old SF,young sperm with old SF,5.124133333,5.05,4.931,5.3914,4.547,Fly21_4min,83
21,"H,B",14.01.23,30.12.22,31.01.23,6,young sperm,old SF,young sperm with old SF,4.464733333,3.8073,4.2262,5.3607,4.2678,Fly21_6min,84
22,"H,H",14.01.23,14.01.23,31.01.23,0,young sperm,young SF,young sperm with young SF,13.36883333,18.8456,10.8586,10.4023,6.7645,Fly22_0min,85
22,"H,H",14.01.23,14.01.23,31.01.23,2,young sperm,young SF,young sperm with young SF,10.3084,13.618,9.1523,8.1549,6.228,Fly22_2min,86
22,"H,H",14.01.23,14.01.23,31.01.23,4,young sperm,young SF,young sperm with young SF,8.006566667,9.9804,7.577,6.4623,5.4872,Fly22_4min,87
22,"H,H",14.01.23,14.01.23,31.01.23,6,young sperm,young SF,young sperm with young SF,6.436133333,8.0773,5.8561,5.375,4.9654,Fly22_6min,88
23,"I,B",18.01.23,30.12.22,01.02.23,0,young sperm,old SF,young sperm with old SF,11.02126667,10.5373,11.0584,11.4681,6.7812,Fly23_0min,89
23,"I,B",18.01.23,30.12.22,01.02.23,2,young sperm,old SF,young sperm with old SF,8.3351,8.1365,8.4131,8.4557,5.8495,Fly23_2min,90
23,"I,B",18.01.23,30.12.22,01.02.23,4,young sperm,old SF,young sperm with old SF,7.2898,6.7399,7.5459,7.5836,5.4264,Fly23_4min,91
23,"I,B",18.01.23,30.12.22,01.02.23,6,young sperm,old SF,young sperm with old SF,6.4877,6.1177,6.7815,6.5639,5.0632,Fly23_6min,92
24,"B,B",30.12.22,30.12.22,01.02.23,0,old sperm,old SF,old sperm with old SF,9.625066667,10.4108,9.4922,8.9722,7.9735,Fly24_0min,93
24,"B,B",30.12.22,30.12.22,01.02.23,2,old sperm,old SF,old sperm with old SF,9.672466667,9.8604,9.654,9.503,8.537,Fly24_2min,94
24,"B,B",30.12.22,30.12.22,01.02.23,4,old sperm,old SF,old sperm with old SF,9.429266667,9.6913,8.747,9.8495,8.1991,Fly24_4min,95
24,"B,B",30.12.22,30.12.22,01.02.23,6,old sperm,old SF,old sperm with old SF,8.738033333,9.1983,8.681,8.3348,7.7502,Fly24_6min,96
25,"B,I",30.12.22,18.01.23,01.02.23,0,old sperm,young SF,old sperm with young SF,,,,,1.9205,Fly25_0min,97
25,"B,I",30.12.22,18.01.23,01.02.23,2,old sperm,young SF,old sperm with young SF,,,,,1.3167,Fly25_2min,98
25,"B,I",30.12.22,18.01.23,01.02.23,4,old sperm,young SF,old sperm with young SF,,,,,1.249,Fly25_4min,99
25,"B,I",30.12.22,18.01.23,01.02.23,6,old sperm,young SF,old sperm with young SF,,,,,1.2175,Fly25_6min,100
26,"I,I",18.01.23,18.01.23,01.02.23,0,young sperm,young SF,young sperm with young SF,11.7979,10.7119,9.9895,14.6923,6.5314,Fly26_0min,101
26,"I,I",18.01.23,18.01.23,01.02.23,2,young sperm,young SF,young sperm with young SF,8.791,8.1044,8.6683,9.6003,5.2658,Fly26_2min,102
26,"I,I",18.01.23,18.01.23,01.02.23,4,young sperm,young SF,young sperm with young SF,7.117266667,5.6617,7.2478,8.4423,4.7281,Fly26_4min,103
26,"I,I",18.01.23,18.01.23,01.02.23,6,young sperm,young SF,young sperm with young SF,5.663133333,4.0551,6.1839,6.7504,4.3141,Fly26_6min,104
27,"I,B",18.01.23,18.01.23,01.02.23,0,young sperm,old SF,young sperm with old SF,10.86026667,9.9935,11.7912,10.7961,6.9106,Fly27_0min,105
27,"I,B",18.01.23,18.01.23,01.02.23,2,young sperm,old SF,young sperm with old SF,9.2567,8.9552,11.12,7.6949,6.2391,Fly27_2min,106
27,"I,B",18.01.23,18.01.23,01.02.23,4,young sperm,old SF,young sperm with old SF,8.6009,8.0922,10.566,7.1445,5.9888,Fly27_4min,107
27,"I,B",18.01.23,18.01.23,01.02.23,6,young sperm,old SF,young sperm with old SF,8.297233333,7.9689,10.1938,6.729,5.7178,Fly27_6min,108
28,"B,B",30.12.22,30.12.22,01.02.23,0,old sperm,old SF,old sperm with old SF,,,,,1.4539,Fly28_0min,109
28,"B,B",30.12.22,30.12.22,01.02.23,2,old sperm,old SF,old sperm with old SF,,,,,1.3181,Fly28_2min,110
28,"B,B",30.12.22,30.12.22,01.02.23,4,old sperm,old SF,old sperm with old SF,,,,,1.3074,Fly28_4min,111
